"","precinct","office","party_detailed","party_simplified","votes","county_name","county_fips","jurisdiction_name","candidate","year","stage","state","special","writein","date"
"40","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"41","Clearwater-C","US PRESIDENT","REPUBLICAN","REPUBLICAN",525,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"42","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"43","Clearwater-C","US PRESIDENT","DEMOCRAT","DEMOCRAT",120,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"44","Clearwater-C","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"45","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"46","Clearwater-C","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",1,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"47","Clearwater-C","US PRESIDENT","WE THE PEOPLE","OTHER",6,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"48","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"49","Clearwater-C","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"50","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"51","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"52","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"53","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"54","Meadowbrook","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",2,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"55","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"56","Meadowbrook","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"57","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"58","Meadowbrook","US PRESIDENT","REPUBLICAN","REPUBLICAN",204,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"59","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"60","Meadowbrook","US PRESIDENT","DEMOCRAT","DEMOCRAT",29,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"61","Meadowbrook","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"62","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"63","Meadowbrook","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"64","Meadowbrook","US PRESIDENT","WE THE PEOPLE","OTHER",2,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"65","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"66","Meadowbrook","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"67","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"68","Meadowbrook","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"69","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"70","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"71","Ridgewood-1","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",18,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"72","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"73","Ridgewood-1","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"74","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"75","Ridgewood-1","US PRESIDENT","REPUBLICAN","REPUBLICAN",685,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"76","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"77","Ridgewood-1","US PRESIDENT","DEMOCRAT","DEMOCRAT",395,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"78","Ridgewood-1","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"79","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"80","Ridgewood-1","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",1,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"81","Ridgewood-1","US PRESIDENT","WE THE PEOPLE","OTHER",15,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"82","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"83","Ridgewood-1","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"84","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"85","Ridgewood-1","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"86","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"87","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"88","Ridgewood-2","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",10,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"89","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"90","Ridgewood-2","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"91","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"92","Ridgewood-2","US PRESIDENT","REPUBLICAN","REPUBLICAN",642,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"93","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"94","Ridgewood-2","US PRESIDENT","DEMOCRAT","DEMOCRAT",369,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"95","Ridgewood-2","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"96","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"97","Ridgewood-2","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",2,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"98","Ridgewood-2","US PRESIDENT","WE THE PEOPLE","OTHER",11,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"99","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"100","Ridgewood-2","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"101","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"102","Ridgewood-2","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"103","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"104","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"105","Ridgewood-3","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",7,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"106","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"107","Ridgewood-3","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"108","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"109","Ridgewood-3","US PRESIDENT","REPUBLICAN","REPUBLICAN",339,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"110","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"111","Ridgewood-3","US PRESIDENT","DEMOCRAT","DEMOCRAT",168,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"112","Ridgewood-3","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"113","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"114","Ridgewood-3","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"115","Ridgewood-3","US PRESIDENT","WE THE PEOPLE","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"116","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"117","Ridgewood-3","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"118","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"119","Ridgewood-3","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"120","Ridgewood-4","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"121","Ridgewood-4","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"122","Ridgewood-4","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",1,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
